ts,regime,A_sig,A_pnl,B_sig,B_pnl,C_sig,C_pnl,srcA,srcB,srcC,n,conf
1781139600,flat,F,,F,,F,,charon_only,cbr_only,blended,50,0.5741
1781143200,flat,F,,L,2.1076,L,2.1076,charon_only,cbr_only,blended,49,0.5173
1781146800,flat,F,,F,,F,,charon_only,cbr_only,blended,50,0.4812
1781150400,flat,F,,F,,F,,charon_only,cbr_only,blended,41,0.3795
1781154000,flat,F,,L,1.5592,F,,charon_only,cbr_only,blended,48,0.4094
1781157600,flat,F,,F,,F,,charon_only,cbr_only,blended,49,0.3595
1781161200,flat,F,,F,,F,,charon_only,cbr_only,blended,37,0.33
1781164800,flat,F,,F,,F,,charon_only,cbr_only,blended,50,0.3328
1781168400,flat,F,,F,,F,,charon_only,cbr_only,blended,39,0.295
1781172000,trend_up,L,0.2329,L,0.2329,L,0.2329,charon_only,cbr_only,blended,24,0.1469
1781175600,trend_up,F,,L,-0.3021,F,,charon_only,cbr_only,blended,26,0.1918
1781179200,trend_up,L,0.0441,F,,L,0.0441,charon_only,cbr_only,blended,28,0.1754
1781182800,trend_up,F,,F,,F,,charon_only,cbr_only,blended,27,0.223
1781186400,trend_up,F,,L,1.5242,F,,charon_only,cbr_only,blended,33,0.2805
1781190000,flat,F,,F,,F,,charon_only,cbr_only,blended,33,0.341
1781193600,flat,F,,F,,F,,charon_only,cbr_only,blended,30,0.3073
1781197200,flat,L,-0.3807,F,,F,,charon_only,cbr_only,blended,35,0.2619
1781200800,flat,F,,F,,F,,charon_only,cbr_only,blended,30,0.2635
1781204400,trend_up,L,0.5199,F,,L,0.5199,charon_only,cbr_only,blended,27,0.2438
1781208000,trend_up,F,,F,,F,,charon_only,cbr_only,blended,30,0.2581
1781211600,trend_up,F,,F,,F,,charon_only,cbr_only,blended,16,0.0826
1781215200,trend_up,F,,F,,F,,charon_only,cbr_only,blended,32,0.2468
1781218800,trend_up,F,,F,,F,,charon_only,cbr_only,blended,31,0.2203
1781222400,trend_up,F,,L,-0.1935,F,,charon_only,cbr_only,blended,36,0.2742
1781226000,trend_up,F,,F,,F,,charon_only,cbr_only,blended,35,0.2723
1781229600,trend_up,F,,F,,F,,charon_only,cbr_only,blended,32,0.2726
1781233200,trend_up,F,,F,,F,,charon_only,cbr_only,blended,29,0.24
1781236800,trend_up,F,,F,,F,,charon_only,cbr_only,blended,37,0.2788
1781240400,trend_up,F,,F,,F,,charon_only,cbr_only,blended,33,0.2792
1781244000,trend_up,S,-1.4614,F,,S,-1.4614,charon_only,cbr_only,blended,32,0.234
1781247600,flat,F,,F,,F,,charon_only,cbr_only,blended,40,0.3259
1781251200,flat,F,,F,,F,,charon_only,cbr_only,blended,45,0.3351
1781254800,flat,F,,F,,F,,charon_only,cbr_only,blended,40,0.2865
1781258400,flat,F,,F,,F,,charon_only,cbr_only,blended,30,0.2213
1781262000,flat,F,,F,,F,,charon_only,cbr_only,blended,38,0.264
1781265600,flat,F,,F,,F,,charon_only,cbr_only,blended,28,0.2386
1781269200,flat,F,,L,0.8124,F,,charon_only,cbr_only,blended,30,0.274
1781272800,flat,F,,F,,F,,charon_only,cbr_only,blended,45,0.3328
1781276400,flat,F,,L,0.2931,F,,charon_only,cbr_only,blended,40,0.2823
1781280000,flat,F,,F,,F,,charon_only,cbr_only,blended,50,0.4307
1781283600,flat,F,,F,,F,,charon_only,cbr_only,blended,50,0.45
1781287200,flat,F,,L,0.5416,F,,charon_only,cbr_only,blended,50,0.4833
1781290800,flat,F,,F,,F,,charon_only,cbr_only,blended,50,0.4727
1781294400,flat,F,,L,1.2352,F,,charon_only,cbr_only,blended,46,0.5285
1781298000,flat,F,,L,0.7778,F,,charon_only,cbr_only,blended,43,0.4275
1781301600,flat,F,,F,,F,,charon_only,cbr_only,blended,42,0.431
1781305200,flat,F,,L,0.8145,F,,charon_only,cbr_only,blended,49,0.4904
1781308800,flat,F,,F,,F,,charon_only,cbr_only,blended,49,0.4771
1781312400,flat,F,,L,0.5899,F,,charon_only,cbr_only,blended,50,0.5368
1781316000,flat,F,,L,1.1963,F,,charon_only,cbr_only,blended,43,0.5109
1781319600,flat,F,,L,1.3551,F,,charon_only,cbr_only,blended,35,0.478
1781323200,flat,F,,L,1.3895,F,,charon_only,cbr_only,blended,42,0.5301
1781326800,flat,F,,L,1.4428,F,,charon_only,cbr_only,blended,50,0.5307
1781330400,flat,F,,L,1.198,F,,charon_only,cbr_only,blended,47,0.5582
1781334000,flat,F,,L,0.9087,F,,charon_only,cbr_only,blended,50,0.5587
1781337600,flat,F,,L,1.0587,F,,charon_only,cbr_only,blended,50,0.5745
1781341200,flat,F,,L,0.8349,F,,charon_only,cbr_only,blended,48,0.5209
1781344800,flat,F,,L,0.6753,F,,charon_only,cbr_only,blended,50,0.5567
1781348400,flat,F,,L,0.3921,L,0.3921,charon_only,cbr_only,cbr_only,50,0.6115
1781352000,flat,F,,L,0.362,L,0.362,charon_only,cbr_only,blended,50,0.5287
1781355600,flat,F,,L,0.4517,L,0.4517,charon_only,cbr_only,blended,50,0.4755
1781359200,flat,F,,L,0.5151,F,,charon_only,cbr_only,blended,50,0.4908
1781362800,flat,F,,F,,F,,charon_only,cbr_only,blended,50,0.5318
1781366400,flat,F,,F,,F,,charon_only,cbr_only,blended,38,0.3553
1781370000,flat,F,,L,0.457,F,,charon_only,cbr_only,blended,50,0.5453
